DEBUG 2018-08-22 09:49:14,254 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.362) CREATE TABLE `rbac_detailinfo` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `order_no` varchar(10) NOT NULL UNIQUE, `order_date` date NOT NULL, `vin` varchar(17) NOT NULL UNIQUE, `customer_name` varchar(100) NOT NULL, `customer_area` varchar(100) NOT NULL, `payment_way` smallint UNSIGNED NOT NULL, `payment_nper` smallint UNSIGNED NOT NULL, `transaction_price` numeric(9, 2) NOT NULL, `security_deposit` numeric(8, 2) NOT NULL, `replacement_subsidy` numeric(8, 2) NOT NULL, `gift_je` numeric(8, 2) NOT NULL, `time_fee` numeric(8, 2) NOT NULL, `navigation_4G_fee` numeric(8, 2) NOT NULL, `charging_fee` numeric(8, 2) NOT NULL, `first_payment` numeric(9, 2) NOT NULL, `financial_advisory_fee` numeric(8, 2) NOT NULL, `personal_accident_insurance` numeric(8, 2) NOT NULL, `mortgage_fee` numeric(8, 2) NOT NULL, `fs_vps` numeric(8, 2) NOT NULL, `labor_cost` numeric(8, 2) NOT NULL, `ln_vps` numeric(8, 2) NOT NULL, `free_mortgage_fee` numeric(8, 2) NOT NULL, `installment_bond` numeric(8, 2) NOT NULL, `glass_insurance` numeric(8, 2) NOT NULL, `scratch_risk` numeric(8, 2) NOT NULL, `theft_insurance` numeric(8, 2) NOT NULL, `extension_insurance` numeric(8, 2) NOT NULL, `listing_fee` numeric(6, 2) NOT NULL, `value_added_package` numeric(8, 2) NOT NULL, `maintenance_package` numeric(8, 2) NOT NULL, `esc_potential_price` numeric(8, 2) NOT NULL, `esc_procurement_price` numeric(8, 2) NOT NULL, `earnest_money` numeric(8, 2) NOT NULL, `status` smallint UNSIGNED NOT NULL, `entry_date` datetime(6) NOT NULL, `submit_date` datetime(6) NOT NULL, `auditing_date` datetime(6) NOT NULL, `settlement_date` datetime(6) NOT NULL, `auditing_name_id` integer NOT NULL, `department_id` integer NOT NULL, `report_name_id` integer NOT NULL, `settlement_name_id` integer NOT NULL); args=None
DEBUG 2018-08-22 09:49:14,256 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,270 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.014) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,271 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,273 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,274 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,276 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,278 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,280 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,281 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
